Designator,Footprint,Quantity,Value,LCSC Part #
5v    12v1,PinHeader_1x03_P2.54mm_Vertical,1,VSEL,C20607074
"C1, C2",0603,2,47pF,C1671
C3,0402,1,10uF,C15525
"C4, C9",0402,2,100nF,C307331
"C5, C8",0402,2,1uF,C20539426
C6,CP_Elec_6.3x5.3,1,100uF 50v,C5354996
C7,CP_Elec_6.3x7.7,1,330uF 16V,C2980164
CH0,JST_VH_B3P-VH-B_1x03_P3.96mm_Vertical,1,CH0,C265360
CH1,JST_VH_B3P-VH-B_1x03_P3.96mm_Vertical,1,CH1,C265360
D1,D_SOD-123,1,D_Schottky,C437199
"D2, D3, D4",0603,3,LED,C5656657
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB-C,C2988369
J2,JST04_1MM_RA,1,I2C_STANDARDQWIIC,C160404
L1,1812,1,330uH,C394139
PROG1,Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical,1,TC2030-IDC_ESP,
Q1,MOSFET_0DN-T1-GE3_VIS,1,SI7611DN-T1-GE3,C141542
"R1, R2",0603,2,22,C2930077
"R10, R11, R3, R6",0402,4,10k,C25744
"R4, RR1, RR2",0402,3,5.1K,C25905
R5,0402,1,49.9K,C409918
"R7, R8, R9",0402,3,R_US,C2906961
RS1,0603,1,33K,C4216
SW1,SW_SPST_B3U-1000P-B,1,SW_DIP_x01,C231329
U2,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1,C2838502
U3,TO-263-5_TabPin3,1,LM2575-3.3BU,C2977107
U4,DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm,1,HUSB238,C7471904
